step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
9000,11,2.159397,0.682667,0.193172,0.087988,5.1334,169.6
10000,0,0.938173,0.070496,0.000261,0.000167,5.0505,156.1
10000,1,1.223037,0.121723,0.016406,0.004242,5.0505,156.1
10000,2,1.285942,0.192837,0.034382,0.010751,5.0505,156.1
10000,3,1.283804,0.192508,0.055613,0.034691,5.0505,156.1
10000,4,1.213584,0.137502,0.048809,0.017504,5.0505,156.1
10000,5,1.159717,0.173162,0.055031,0.032368,5.0505,156.1
10000,6,1.311024,0.321057,0.065162,0.052595,5.0505,156.1
10000,7,1.306159,0.281156,0.081719,0.054386,5.0505,156.1
10000,8,1.810419,0.482322,0.228817,0.064478,5.0505,156.1
10000,9,1.789336,0.352258,0.197644,0.043902,5.0505,156.1
10000,10,1.98923,0.485019,0.243311,0.068949,5.0505,156.1
10000,11,2.221656,0.720252,0.219086,0.101498,5.0505,156.1
11000,0,0.940541,0.077408,0.000302,0.000194,4.9701,144.04
11000,1,1.25624,0.147231,0.015651,0.004361,4.9701,144.04
11000,2,1.299711,0.214693,0.039045,0.012208,4.9701,144.04
11000,3,1.281317,0.182343,0.046026,0.027293,4.9701,144.04
11000,4,1.202317,0.126986,0.03393,0.013149,4.9701,144.04
11000,5,1.147048,0.173134,0.053507,0.031802,4.9701,144.04
11000,6,1.263938,0.281693,0.059593,0.049798,4.9701,144.04
11000,7,1.261739,0.262976,0.07293,0.051745,4.9701,144.04
11000,8,1.573274,0.367567,0.155927,0.05024,4.9701,144.04
11000,9,1.711249,0.325187,0.177387,0.041639,4.9701,144.04
11000,10,1.975963,0.480319,0.253693,0.072905,4.9701,144.04
11000,11,2.166,0.68029,0.228313,0.104137,4.9701,144.04
12000,0,0.940028,0.085206,0.000319,0.000218,4.9567,142.12
12000,1,1.288931,0.174526,0.015491,0.005038,4.9567,142.12
12000,2,1.336599,0.234536,0.038581,0.012791,4.9567,142.12
12000,3,1.284244,0.178531,0.045951,0.027165,4.9567,142.12
12000,4,1.237822,0.13951,0.036552,0.015172,4.9567,142.12
12000,5,1.195385,0.188953,0.059127,0.03666,4.9567,142.12
12000,6,1.306619,0.317044,0.061705,0.053944,4.9567,142.12
12000,7,1.258792,0.276742,0.074436,0.05351,4.9567,142.12
12000,8,1.566282,0.376621,0.162667,0.05188,4.9567,142.12
12000,9,1.658797,0.308931,0.174124,0.042198,4.9567,142.12
12000,10,1.95525,0.475734,0.280988,0.08213,4.9567,142.12
